TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41047001200,Oregon,Marion County,3745,1789,1956,8.5,82.7,0.0,0.6,5.7,0.0,3058,46875.0,8648.0,28715.0,3945.0,18.3,24.8,41.6,17.1,24.9,8.5,7.9,72.2,15.3,0.0,3.4,2.6,6.5,21.2,1866,71.0,23.8,4.9,0.3,9.0
41047001300,Oregon,Marion County,4128,2061,2067,7.9,80.9,3.5,0.2,3.3,1.1,3190,69255.0,7673.0,45169.0,6927.0,11.0,10.7,48.6,16.8,23.8,8.2,2.6,78.0,10.4,0.0,7.0,1.2,3.4,16.1,2416,73.6,22.1,4.3,0.0,4.2
41047001401,Oregon,Marion County,6028,2969,3059,17.1,77.9,0.6,0.6,1.2,0.9,4930,61644.0,8257.0,29514.0,3299.0,14.6,32.1,39.8,17.8,26.9,4.3,11.3,76.1,12.9,3.1,0.0,0.4,7.6,20.6,2467,76.0,16.6,7.4,0.0,10.3
41047001402,Oregon,Marion County,5807,2765,3042,18.5,74.5,0.0,0.5,1.2,0.5,4390,70346.0,4546.0,31644.0,6091.0,6.8,5.9,29.0,19.2,30.7,6.4,14.7,68.4,14.0,0.9,1.5,0.7,14.4,23.0,3176,60.7,31.0,8.3,0.0,2.7
41047001501,Oregon,Marion County,4884,2249,2635,18.1,73.4,0.2,0.7,1.9,2.0,3526,70354.0,4017.0,29047.0,2692.0,10.6,16.7,36.4,17.6,29.8,7.7,8.6,85.6,9.0,0.0,1.1,0.8,3.5,21.4,2137,64.0,32.4,3.6,0.0,4.8
41047001502,Oregon,Marion County,5355,2582,2773,27.7,65.9,0.9,1.0,0.0,0.0,3389,52965.0,7113.0,21906.0,3012.0,21.2,34.3,27.4,18.9,27.4,10.3,16.1,82.2,10.0,1.8,1.2,2.2,2.7,22.4,2398,74.6,21.5,4.0,0.0,7.7
41047001503,Oregon,Marion County,4752,2352,2400,32.3,61.4,0.0,0.7,1.1,0.0,2824,39569.0,8468.0,20887.0,3735.0,22.2,38.9,27.9,27.0,21.4,12.0,11.7,73.6,19.4,0.4,2.1,1.4,3.0,22.9,1989,76.2,20.0,3.8,0.0,10.6
41047001601,Oregon,Marion County,7683,3735,3948,35.4,55.7,0.0,0.0,3.0,0.0,4920,58239.0,11393.0,22824.0,2387.0,14.5,26.5,34.1,9.2,25.8,11.6,19.4,72.1,18.1,3.2,1.5,1.1,4.0,24.5,3220,77.8,19.2,3.0,0.0,5.1
41047001602,Oregon,Marion County,10676,5103,5573,53.6,33.5,3.4,0.6,4.8,0.0,4709,35574.0,4968.0,14519.0,1770.0,27.1,36.1,23.3,21.6,22.4,19.6,13.1,76.2,15.6,2.6,0.0,1.1,4.4,24.2,4525,83.4,13.7,2.9,0.0,10.8
41047001603,Oregon,Marion County,7329,3918,3411,43.0,44.7,2.3,2.5,5.3,0.3,3954,60048.0,4770.0,21640.0,2717.0,6.4,3.7,22.3,13.0,21.4,13.4,29.9,79.7,14.5,1.2,0.6,1.3,2.7,25.6,3314,83.3,14.1,2.6,0.0,5.7
